"Team","Season","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"ARI","2012-2013",48,2265.41,1909.32,1856.3,53.02,50.7,50.57,49.16,81.93,78.22,3.71,51.16,2.17,2.07,80.7,83.75,-3.05,49.07,2.14,2.22,157,166,9,7.79,92.45,100.24
"ARI","2013-2014",82,3878.63,3112.36,3091.26,21.1,50.17,48.15,47.82,130.89,125.54,5.35,51.04,2.02,1.94,121.64,137.2,-15.56,46.99,1.88,2.12,265,266,1,7.73,92.73,100.46
"ARI","2014-2015",82,3947.18,3092.59,3389.74,-297.15,47.71,47.01,51.53,99.86,165.49,-65.63,37.63,1.52,2.52,126.78,148.31,-21.53,46.09,1.93,2.25,260,245,-15,6.09,91.16,97.25
"ARI","2015-2016",82,3771.58,2791.67,3208.89,-417.22,46.52,44.41,51.05,125.59,130.38,-4.79,49.06,2,2.07,117.32,133.73,-16.41,46.73,1.87,2.13,313,294,-19,8.36,92.52,100.88
"ARI","2016-2017",82,3984.29,2969.49,3616.74,-647.25,45.09,44.72,54.47,129.84,158.31,-28.47,45.06,1.96,2.38,123.85,167.96,-44.11,42.44,1.87,2.53,253,240,-13,7.99,92.05,100.03
"ATL","2007-2008",80,3587.92,2231.73,2976.22,-744.49,42.85,37.32,49.77,116.79,157.43,-40.64,42.59,1.95,2.63,112.87,143.98,-31.11,43.94,1.89,2.41,327,270,-57,8.94,91.17,100.1
"ATL","2008-2009",82,3616.12,2572.75,2989.36,-416.61,46.25,42.69,49.6,140.42,152.93,-12.51,47.87,2.33,2.54,129.21,144.76,-15.55,47.16,2.14,2.4,392,368,-24,9.55,91.23,100.79
"ATL","2009-2010",82,3702.9,2853.05,2997.15,-144.1,48.77,46.23,48.56,154.36,159.79,-5.43,49.14,2.5,2.59,127.6,149.46,-21.86,46.06,2.07,2.42,336,330,-6,9.51,91.07,100.58
"ATL","2010-2011",82,3911,3128.36,3304.86,-176.5,48.63,47.99,50.7,133.63,159.41,-25.78,45.6,2.05,2.45,138.75,151.2,-12.45,47.85,2.13,2.32,281,270,-11,7.51,91.35,98.86
"BOS","2007-2008",31,1137.06,878.81,808.53,70.28,52.08,46.37,42.66,33.07,36.91,-3.84,47.26,1.75,1.95,37.72,36.24,1.48,51,1.99,1.91,101,99,-2,6.8,91.68,98.47
"BOS","2008-2009",81,3737.65,2981.13,2807.85,173.28,51.5,47.86,45.07,160.44,103.96,56.48,60.68,2.58,1.67,133.42,129.51,3.91,50.74,2.14,2.08,309,319,10,9.53,93.75,103.28
"BOS","2009-2010",82,3909.25,3200.61,2873.96,326.65,52.69,49.12,44.11,122.31,130.9,-8.59,48.3,1.88,2.01,131.82,119.48,12.34,52.46,2.02,1.83,292,284,-8,6.73,92.18,98.9
"BOS","2010-2011",82,3935.86,3457.26,3287.53,169.73,51.26,52.7,50.12,167.33,118.93,48.4,58.45,2.55,1.81,142.58,146.06,-3.48,49.4,2.17,2.23,310,315,5,8.65,93.7,102.35
"BOS","2011-2012",82,3963.35,3512.42,2975.08,537.34,54.14,53.17,45.04,181.28,139.11,42.17,56.58,2.74,2.11,148.02,123.45,24.57,54.53,2.24,1.87,306,306,0,9.38,91.9,101.27
"BOS","2012-2013",48,2323.98,2132.8,1732.44,400.36,55.18,55.06,44.73,88.32,72.01,16.31,55.09,2.28,1.86,90.56,79.02,11.54,53.4,2.34,2.04,177,146,-31,7.63,92.55,100.18
"BOS","2013-2014",82,3993.08,3438.61,2870.93,567.68,54.5,51.67,43.14,165.54,106.1,59.44,60.94,2.49,1.59,141.51,119.09,22.42,54.3,2.13,1.79,282,265,-17,8.74,93.56,102.3
"BOS","2014-2015",82,4014.31,3244.17,3062.99,181.18,51.44,48.49,45.78,132.67,132.44,0.23,50.04,1.98,1.98,129.52,124.33,5.19,51.02,1.94,1.86,255,231,-24,7.5,92.43,99.94
"BOS","2015-2016",82,3946.97,3156.49,3181,-24.51,49.81,47.98,48.36,152.67,143.54,9.13,51.54,2.32,2.18,132.25,134.13,-1.88,49.65,2.01,2.04,306,260,-46,8.32,91.83,100.15
"BOS","2016-2017",82,3869.08,3377.79,2789.54,588.25,54.77,52.38,43.26,134.62,142,-7.38,48.67,2.09,2.2,149.45,122.22,27.23,55.01,2.32,1.9,299,261,-38,7.18,90.64,97.81
"BUF","2007-2008",76,3331.35,2447.06,2533.75,-86.69,49.13,44.07,45.63,141.48,133.9,7.58,51.38,2.55,2.41,114.41,114.23,0.18,50.04,2.06,2.06,280,317,37,9.77,90.66,100.43
"BUF","2008-2009",82,3609.13,2810.21,2851.95,-41.74,49.63,46.72,47.41,143.64,140.22,3.42,50.6,2.39,2.33,125.89,119.98,5.91,51.2,2.09,1.99,332,353,21,8.66,91.44,100.09
"BUF","2009-2010",82,3745.89,3027.99,2957.56,70.43,50.59,48.5,47.37,144.96,135.36,9.6,51.71,2.32,2.17,140.84,137.34,3.5,50.63,2.26,2.2,283,311,28,8.15,92.15,100.3
"BUF","2010-2011",82,3853.65,3156.13,3131.14,24.99,50.2,49.14,48.75,156.5,134.65,21.85,53.75,2.44,2.1,143.42,132.98,10.44,51.89,2.23,2.07,305,289,-16,8.4,92.22,100.63
"BUF","2011-2012",82,3955.14,3044.71,3181.12,-136.41,48.9,46.19,48.26,147.08,137.9,9.18,51.61,2.23,2.09,130.54,142.5,-11.96,47.81,1.98,2.16,288,282,-6,8.69,92.34,101.04
"BUF","2012-2013",48,2237.58,1577.53,1945.36,-367.83,44.78,42.3,52.16,78.39,85.95,-7.56,47.7,2.1,2.3,67.01,86.14,-19.13,43.75,1.8,2.31,185,185,0,8.73,92.13,100.86
"BUF","2013-2014",82,3890.77,2592.44,3512.4,-919.96,42.47,39.98,54.17,92.19,159.18,-66.99,36.68,1.42,2.45,113.22,153.71,-40.49,42.42,1.75,2.37,267,271,4,6.32,91.87,98.18
"BUF","2014-2015",82,3978.82,2307.04,3926.94,-1619.9,37.01,34.79,59.22,104.83,162.14,-57.31,39.27,1.58,2.45,106.61,158.35,-51.74,40.24,1.61,2.39,259,247,-12,7.7,92.2,99.89
"BUF","2015-2016",82,3976.95,2876.77,3204.5,-327.73,47.31,43.4,48.35,113.8,140.34,-26.54,44.78,1.72,2.12,120.33,132.06,-11.73,47.68,1.82,1.99,227,253,26,6.94,92.17,99.11
"BUF","2016-2017",82,4031.08,3036.3,3392.49,-356.19,47.23,45.19,50.5,117.88,144.97,-27.09,44.85,1.75,2.16,131.97,145.73,-13.76,47.52,1.96,2.17,243,228,-15,6.69,92.6,99.29
"CAR","2007-2008",79,3374.38,2896.68,2635.23,261.45,52.36,51.51,46.86,139.99,135.79,4.2,50.76,2.49,2.41,134.16,131.39,2.77,50.52,2.39,2.34,322,381,59,8.57,90.66,99.23
"CAR","2008-2009",82,3645.27,3219.18,2968.77,250.41,52.02,52.99,48.87,126.97,130.39,-3.42,49.34,2.09,2.15,141.81,139.98,1.83,50.32,2.33,2.3,264,344,80,7.19,91.77,98.96
"CAR","2009-2010",81,3679.53,2948.33,3121.11,-172.78,48.58,48.08,50.89,129.19,146.89,-17.7,46.79,2.11,2.4,134.37,149.86,-15.49,47.28,2.19,2.44,292,306,14,8.26,91.37,99.62
"CAR","2010-2011",82,3737,3265.46,3363.32,-97.86,49.26,52.43,54,141.27,148.65,-7.38,48.73,2.27,2.39,147.08,158.08,-11,48.2,2.36,2.54,257,331,74,8.35,91.94,100.3
"CAR","2011-2012",82,3894.5,3153.75,3394.25,-240.5,48.16,48.59,52.29,130.89,149.12,-18.23,46.74,2.02,2.3,147.38,161.54,-14.16,47.71,2.27,2.49,235,277,42,7.75,92,99.75
"CAR","2012-2013",48,2268.18,1990.48,1932.71,57.77,50.74,52.65,51.13,84.98,99,-14.02,46.19,2.25,2.62,90.94,99.45,-8.51,47.77,2.41,2.63,157,163,6,7.98,90.81,98.79
"CAR","2013-2014",82,3938.25,3309.93,3331.31,-21.38,49.84,50.43,50.75,130.86,145.48,-14.62,47.35,1.99,2.22,145.91,158.34,-12.43,47.96,2.22,2.41,225,255,30,7.35,92.09,99.44
"CAR","2014-2015",82,4001.27,3317.3,3065.74,251.56,51.97,49.74,45.97,118.43,154.21,-35.78,43.44,1.78,2.31,148.96,142.58,6.38,51.09,2.23,2.14,179,232,53,6.6,90.52,97.11
"CAR","2015-2016",82,4037,3222.6,3048.45,174.15,51.39,47.9,45.31,121.8,151.89,-30.09,44.5,1.81,2.26,148.51,149.93,-1.42,49.76,2.21,2.23,188,229,41,7.04,90.88,97.91
"CAR","2016-2017",82,4042.65,3276.78,3179.4,97.38,50.75,48.63,47.19,137.08,160.72,-23.64,46.03,2.03,2.39,158.03,153.63,4.4,50.71,2.35,2.28,171,209,38,7.84,90.81,98.64
"CBJ","2007-2008",82,3529.83,2542.24,2325.68,216.56,52.22,43.21,39.53,104.19,116.26,-12.07,47.26,1.77,1.98,112.05,96.67,15.38,53.68,1.9,1.64,369,359,-10,6.87,91.62,98.5
"CBJ","2008-2009",82,3683.35,2705.58,2537.58,168,51.6,44.07,41.34,142.67,122.28,20.39,53.85,2.32,1.99,121.03,109.83,11.2,52.43,1.97,1.79,353,338,-15,9.04,91.42,100.46
