"","Player","Date","Team","Position","TOI","CF","CA","OCF","OCA","CF60","CA60","CF%","OCF%","Rel.CF%","C+/-"
"63","ERIC.FEHR","2016-01-17","PIT","R",12.7,12.25,10.01,27.22,21.48,57.86,47.29,55.03,55.89,-0.86,2.24
"64","ERIC.FEHR","2016-01-15","PIT","R",11.14,15.06,7.36,35.24,25.74,81.12,39.63,67.18,57.79,9.39,7.7
"65","ERIC.FEHR","2016-01-12","PIT","R",10.15,13.72,3.8,40.91,31.05,81.11,22.48,78.3,56.85,21.45,9.92
"66","ERIC.FEHR","2016-01-09","PIT","R",9.27,10.67,11.17,38.96,31.05,69.04,72.28,48.85,55.65,-6.8,-0.5
"67","ERIC.FEHR","2016-01-06","PIT","R",11.33,10.1,10.24,22.86,35.89,53.46,54.23,49.64,38.91,10.73,-0.15
"68","ERIC.FEHR","2016-01-05","PIT","R",7.29,6.48,9.5,44.77,43.44,53.36,78.18,40.57,50.75,-10.19,-3.02
"69","ERIC.FEHR","2016-01-02","PIT","R",10.7,11.32,11.37,42.49,50.03,63.45,63.76,49.88,45.93,3.95,-0.05
"70","ERIC.FEHR","2015-12-31","PIT","R",9.41,3.83,11.41,35.37,29.17,24.42,72.77,25.13,54.8,-29.68,-7.58
"71","ERIC.FEHR","2015-12-30","PIT","R",10.4,8.04,9.14,28.67,33.37,46.37,52.75,46.78,46.21,0.57,-1.11
"72","ERIC.FEHR","2015-12-27","PIT","R",8.35,5.29,2.32,43.81,36.9,37.99,16.7,69.46,54.28,15.18,2.96
"73","ERIC.FEHR","2015-12-26","PIT","R",9.75,6.66,4.61,48.27,22.5,40.97,28.38,59.08,68.2,-9.12,2.05
"74","ERIC.FEHR","2015-12-21","PIT","R",11.25,11.85,4.27,40.09,25.79,63.18,22.76,73.52,60.86,12.67,7.58
"75","ERIC.FEHR","2015-12-19","PIT","R",6.26,4.74,6.79,40.84,25.86,45.39,65.06,41.09,61.23,-20.14,-2.05
"76","ERIC.FEHR","2015-12-18","PIT","R",10.14,3.33,13.95,38.69,30.73,19.72,82.55,19.28,55.74,-36.46,-10.62
"77","ERIC.FEHR","2015-12-16","PIT","R",7.62,9.42,6.45,44.59,36.69,74.14,50.76,59.36,54.86,4.5,2.97
"78","ERIC.FEHR","2015-12-14","PIT","R",11.06,8.29,7.02,43.87,36.81,44.96,38.11,54.13,54.37,-0.25,1.26
"79","ERIC.FEHR","2015-12-11","PIT","R",15.33,19.91,15.1,29.85,49.11,77.91,59.1,56.87,37.81,19.06,4.81
"80","ERIC.FEHR","2015-12-09","PIT","R",9.29,11.31,8.46,40.29,23.36,73.07,54.65,57.21,63.3,-6.09,2.85
"81","ERIC.FEHR","2015-12-06","PIT","R",9.1,10.33,7.76,38.02,42.09,68.1,51.16,57.1,47.46,9.64,2.57
"82","ERIC.FEHR","2015-12-05","PIT","R",9.41,4.47,7.68,33,47.27,28.52,48.98,36.8,41.11,-4.31,-3.21
"83","ERIC.FEHR","2015-12-01","PIT","R",9.8,15.08,4.77,27.06,44.1,92.3,29.18,75.98,38.03,37.95,10.31
"84","ERIC.FEHR","2015-11-28","PIT","R",8.49,4.73,9.49,53.52,35.64,33.43,67.08,33.26,60.02,-26.76,-4.76
"85","ERIC.FEHR","2015-11-27","PIT","R",9.09,9.21,2.76,23.78,29.53,60.78,18.22,76.94,44.61,32.33,6.45
"86","ERIC.FEHR","2015-11-25","PIT","R",12.62,12.66,7.15,30.36,30.66,60.19,34,63.9,49.75,14.15,5.51
"87","ERIC.FEHR","2015-11-21","PIT","R",7.05,3.03,10.63,28.72,32.61,25.81,90.45,22.2,46.83,-24.63,-7.6
"88","ERIC.FEHR","2015-11-19","PIT","R",6.91,13.64,6.08,30.1,32.11,118.41,52.8,69.16,48.38,20.78,7.56
"89","ERIC.FEHR","2015-11-17","PIT","R",8.8,2.8,11.35,26.69,22.82,19.09,77.38,19.79,53.91,-34.12,-8.55
"90","ERIC.FEHR","2015-11-14","PIT","R",11.39,5.06,5.11,20.98,31.4,26.63,26.92,49.73,40.05,9.69,-0.05
"91","ERIC.FEHR","2015-11-13","PIT","R",6.51,4.62,5.31,30.78,42.84,42.59,48.9,46.55,41.81,4.74,-0.68
"92","ERIC.FEHR","2015-11-11","PIT","R",7.48,6.39,15.99,38.36,42.15,51.28,128.3,28.56,47.65,-19.09,-9.6
"93","ERIC.FEHR","2015-11-07","PIT","R",13.08,7.78,19.17,35.11,20.56,35.7,87.94,28.87,63.07,-34.2,-11.39
"94","ERIC.FEHR","2015-11-06","PIT","R",13.88,13.54,14.88,38.35,23.31,58.54,64.32,47.65,62.2,-14.55,-1.34
"95","ERIC.FEHR","2015-11-04","PIT","R",7.97,3.3,3.63,32.59,23.17,24.82,27.36,47.57,58.44,-10.88,-0.34
"96","ERIC.FEHR","2015-10-31","PIT","R",8.59,8.47,5.21,38.67,30.04,59.19,36.41,61.92,56.28,5.63,3.26
"97","ERIC.FEHR","2012-03-16","WPG","R",8.17,7.07,7.36,30.26,34.46,51.94,54.08,48.99,46.76,2.23,-0.29
"98","ERIC.FEHR","2012-03-14","WPG","R",13.65,9.93,15.87,42.46,31.71,43.63,69.78,38.47,57.24,-18.77,-5.95
"99","ERIC.FEHR","2012-02-21","WPG","R",7.14,7.71,19.13,28.09,46.3,64.78,160.73,28.73,37.76,-9.04,-11.42
"100","ERIC.FEHR","2012-02-19","WPG","R",10.82,8.83,6.77,31.86,32.88,48.95,37.55,56.59,49.22,7.37,2.06
"101","ERIC.FEHR","2012-02-09","WPG","R",10.35,7.99,6.41,51.4,40.75,46.34,37.14,55.51,55.78,-0.27,1.59
"102","ERIC.FEHR","2012-02-07","WPG","R",11.26,4.75,9.54,40.1,31.34,25.29,50.85,33.22,56.13,-22.91,-4.8
"103","ERIC.FEHR","2012-02-03","WPG","R",9.05,3.24,6.62,42.66,42.3,21.46,43.9,32.83,50.21,-17.38,-3.38
"104","ERIC.FEHR","2012-02-02","WPG","R",10.53,11.72,6.8,24.49,42.71,66.79,38.72,63.3,36.44,26.86,4.93
