"Team","Date","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"VGK",2017-10-17,1,60,39.47,51.19,-11.73,43.53,39.47,51.19,3.15,1.19,1.96,72.59,3.15,1.19,1.44,2.14,-0.71,40.14,1.44,2.14,5,5,0,14.5,95.37,109.87
"VGK",2017-10-21,1,64.6,45.93,64.18,-18.25,41.71,42.66,59.61,1.25,2.25,-1,35.76,1.16,2.09,1.27,3.41,-2.15,27.05,1.18,3.17,5,4,-1,6.67,94.61,101.28
"VGK",2017-10-24,1,60,65.01,41.68,23.33,60.93,65.01,41.68,2.57,3.64,-1.07,41.4,2.57,3.64,4.97,2.66,2.3,65.11,4.97,2.66,3,5,2,7.93,85.93,93.87
"VGK",2017-10-27,1,60,50.54,42.87,7.67,54.11,50.54,42.87,5.99,0,5.99,100,5.99,0,2.22,1.48,0.74,60.02,2.22,1.48,5,8,3,29.33,100,129.33
"VGK",2017-10-30,1,60,57.95,46.74,11.22,55.36,57.95,46.74,3.07,4.2,-1.12,42.27,3.07,4.2,3.03,2.17,0.86,58.23,3.03,2.17,5,5,0,9.67,82.37,92.04
"VGK",2017-10-31,1,60,48.85,53.45,-4.59,47.75,48.85,53.45,3.85,3.98,-0.13,49.2,3.85,3.98,4.42,3.64,0.78,54.81,4.42,3.64,5,4,-1,13.16,87.11,100.27
"VGK",2017-11-02,1,60,41.77,55.76,-13.98,42.83,41.77,55.76,0.99,1.91,-0.92,34.17,0.99,1.91,1.86,3.12,-1.26,37.31,1.86,3.12,1,3,2,4.34,92.29,96.63
"VGK",2017-11-04,1,60,51.29,55.94,-4.65,47.83,51.29,55.94,2.87,3.74,-0.87,43.45,2.87,3.74,2.01,1.93,0.07,50.92,2.01,1.93,3,6,3,8.95,84.65,93.6
"VGK",2017-11-06,1,65,50.44,52.1,-1.66,49.19,46.56,48.1,2.42,2.11,0.31,53.37,2.23,1.95,2.43,1.92,0.51,55.87,2.24,1.77,4,3,-1,9.86,92.76,102.62
"VGK",2017-11-07,1,60,49.74,46.94,2.8,51.45,49.74,46.94,1.34,3.03,-1.69,30.72,1.34,3.03,2.31,2.9,-0.59,44.35,2.31,2.9,2,2,0,5.49,88.53,94.01
"VGK",2017-11-10,1,60,52.73,40.47,12.26,56.58,52.73,40.47,5.81,1.42,4.38,80.3,5.81,1.42,2.29,1.14,1.14,66.68,2.29,1.14,6,4,-2,19.95,92.66,112.62
"VGK",2017-11-14,1,60,34.29,52.22,-17.93,39.64,34.29,52.22,2.16,7.47,-5.31,22.46,2.16,7.47,1.57,2.4,-0.84,39.46,1.57,2.4,4,5,1,11.87,75.88,87.75
"VGK",2017-11-16,1,60,51.49,40.7,10.78,55.85,51.49,40.7,4.14,2.02,2.12,67.19,4.14,2.02,1.7,1.46,0.24,53.82,1.7,1.46,2,0,-2,13.63,89.5,103.13
"VGK",2017-11-19,1,60,70.12,39.03,31.1,64.24,70.12,39.03,3.12,1.92,1.2,61.88,3.12,1.92,3.82,1.7,2.12,69.24,3.82,1.7,1,1,0,7.35,91.72,99.08
"VGK",2017-11-22,1,60,55.68,35.1,20.59,61.34,55.68,35.1,3.05,1.43,1.62,68.07,3.05,1.43,3.05,1.86,1.19,62.15,3.05,1.86,5,4,-1,8.23,91.96,100.18
"VGK",2017-11-24,1,61.35,52.4,51.26,1.14,50.55,51.24,50.13,3.73,2.73,1,57.73,3.65,2.67,2.56,2.5,0.06,50.57,2.5,2.44,2,4,2,13.29,88.39,101.68
"VGK",2017-11-25,1,57.97,45.78,59.03,-13.25,43.68,47.39,61.1,3.32,0.59,2.73,84.89,3.44,0.61,1.11,1.7,-0.59,39.58,1.15,1.76,5,5,0,12.44,97.98,110.42
"VGK",2017-11-28,1,60,44.78,41.65,3.13,51.81,44.78,41.65,0,2.96,-2.96,0,0,2.96,1.53,2.11,-0.58,41.97,1.53,2.11,4,3,-1,0,89.13,89.13
"WPG",2017-10-04,1,60,52.8,58.14,-5.33,47.6,52.8,58.14,1.96,5.44,-3.49,26.44,1.96,5.44,2.64,2.52,0.11,51.1,2.64,2.52,4,8,4,7,83.62,90.62
"WPG",2017-10-07,1,60,39.14,67.68,-28.54,36.64,39.14,67.68,3.74,4.41,-0.67,45.87,3.74,4.41,1.99,3.54,-1.54,36.05,1.99,3.54,6,3,-3,16.15,89.23,105.39
"WPG",2017-10-09,1,60,56.94,52.05,4.89,52.24,56.94,52.05,4.01,1.99,2.02,66.86,4.01,1.99,2.53,2.41,0.12,51.22,2.53,2.41,2,4,2,10.32,93.48,103.8
"WPG",2017-10-12,1,60,38.27,39.52,-1.25,49.19,38.27,39.52,4.57,1.2,3.38,79.25,4.57,1.2,1.25,1.29,-0.04,49.28,1.25,1.29,5,2,-3,18.83,94.64,113.47
"WPG",2017-10-14,1,60,44.89,50.06,-5.17,47.28,44.89,50.06,1.73,0.33,1.39,83.81,1.73,0.33,1.83,1.97,-0.15,48.06,1.83,1.97,4,2,-2,8.43,98.73,107.17
"WPG",2017-10-17,1,60,48.46,58.39,-9.93,45.35,48.46,58.39,3.43,4.49,-1.05,43.35,3.43,4.49,1.51,2.9,-1.39,34.29,1.51,2.9,3,1,-2,13.04,87.21,100.25
"WPG",2017-10-20,1,60,41.13,33.58,7.55,55.06,41.13,33.58,2.64,2.09,0.54,55.75,2.64,2.09,2.01,1.76,0.25,53.29,2.01,1.76,1,3,2,9.76,90.48,100.24
"WPG",2017-10-26,1,61.12,50.7,57.91,-7.21,46.68,49.78,56.86,0.83,1.57,-0.74,34.5,0.81,1.54,2.74,2.23,0.51,55.09,2.69,2.19,5,3,-2,2.88,95.01,97.89
"WPG",2017-10-27,1,62.63,43.63,61.48,-17.84,41.51,41.8,58.89,0.86,1.58,-0.72,35.31,0.83,1.52,2.44,2.96,-0.52,45.14,2.34,2.84,4,6,2,3.64,95.05,98.68
