"Team","Date","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"ANA",2016-12-07,1,51.05,50.68,36.74,13.94,57.97,59.57,43.18,5.35,3.52,1.83,60.31,6.29,4.14,2.17,1.86,0.31,53.79,2.55,2.19,4,2,-2,18.1,83.33,101.44
"ANA",2016-12-09,1,52.15,37.04,46.51,-9.47,44.34,42.62,53.51,2.67,1.62,1.05,62.28,3.08,1.86,2.03,1.76,0.27,53.6,2.34,2.03,2,3,1,13.96,91.11,105.07
"ANA",2016-12-11,1,36.97,38.04,23.15,14.89,62.16,61.74,37.58,1.71,0,1.71,100,2.78,0,2.89,0.5,2.4,85.38,4.7,0.8,4,3,-1,7.58,100,107.58
"ANA",2016-12-13,1,43.27,38.79,38.52,0.27,50.17,53.79,53.42,0.89,4.17,-3.28,17.66,1.24,5.78,2.07,1.43,0.64,59.11,2.87,1.99,3,2,-1,4.28,78.98,83.26
"ANA",2016-12-15,1,45.95,32.82,51.26,-18.44,39.04,42.86,66.93,4.16,2.36,1.8,63.82,5.43,3.08,1.74,1.87,-0.13,48.19,2.27,2.45,3,3,0,19.81,88.28,108.1
"ANA",2016-12-17,1,52.27,31.81,41.36,-9.55,43.47,36.52,47.48,1.78,5.38,-3.6,24.83,2.04,6.18,1.47,2.91,-1.44,33.61,1.69,3.34,4,3,-1,9.44,76.57,86
"ANA",2016-12-19,1,44.12,33.76,28.82,4.94,53.95,45.92,39.2,0.98,1.58,-0.61,38.2,1.33,2.16,1.62,1.01,0.62,61.74,2.21,1.37,2,5,3,5.1,91.18,96.28
"ANA",2016-12-20,1,46.1,13.05,44.63,-31.58,22.62,16.98,58.09,0.84,2.56,-1.72,24.77,1.1,3.33,0.46,2.06,-1.6,18.33,0.6,2.68,5,3,-2,9.45,90.6,100.05
"ANA",2016-12-22,1,54.63,38.71,27.21,11.5,58.72,42.51,29.88,0,1.1,-1.1,0,0,1.21,1.48,1.01,0.47,59.5,1.63,1.11,4,5,1,0,91.5,91.5
"ANA",2016-12-27,1,52.72,48.55,33.64,14.91,59.07,55.26,38.29,1.85,2.41,-0.57,43.32,2.1,2.75,2.61,1.79,0.82,59.28,2.97,2.04,4,2,-2,6.7,88.05,94.75
"ANA",2016-12-29,1,42,32.1,22.53,9.57,58.76,45.85,32.18,0.95,1.15,-0.2,45.32,1.36,1.64,1.26,0.8,0.46,61.14,1.79,1.14,4,5,1,5.52,93.64,99.16
"ANA",2016-12-30,1,48.42,28.59,31.18,-2.59,47.84,35.43,38.64,1.09,1.32,-0.24,45.12,1.35,1.64,1.01,2.04,-1.03,33.06,1.25,2.52,7,1,-6,6.8,92.55,99.34
"ANA",2017-01-01,1,52.65,37.6,53.84,-16.24,41.12,42.85,61.36,2.98,2.21,0.76,57.36,3.39,2.52,1.7,3.44,-1.74,33.04,1.93,3.92,7,4,-3,16.33,93.6,109.93
"ANA",2017-01-04,1,48.32,42.32,28.69,13.63,59.6,52.55,35.63,1.73,0,1.73,100,2.15,0,2.45,0.94,1.51,72.33,3.04,1.16,4,3,-1,8.24,100,108.24
"ANA",2017-01-06,1,56.02,57.44,28.66,28.78,66.71,61.53,30.7,2.43,1.02,1.41,70.42,2.6,1.09,3.29,1.04,2.25,75.93,3.52,1.12,2,2,0,8.06,93.69,101.76
"ANA",2017-01-08,1,45.62,32.39,41.97,-9.58,43.56,42.6,55.2,0.79,0.81,-0.02,49.47,1.04,1.07,1.75,1.51,0.24,53.7,2.3,1.98,2,3,1,4.34,95.82,100.16
"ANA",2017-01-10,1,47.47,44.7,35.64,9.07,55.64,56.51,45.05,0.99,0,0.99,100,1.26,0,2.47,1.88,0.58,56.7,3.12,2.38,2,3,1,3.8,100,103.8
"ANA",2017-01-12,1,49.77,43.98,38.11,5.87,53.57,53.02,45.94,3.11,1.06,2.06,74.68,3.75,1.27,1.91,1.31,0.6,59.29,2.31,1.58,3,1,-2,11.47,95.66,107.13
"ANA",2017-01-14,1,48.02,31.3,44.54,-13.24,41.27,39.11,55.66,1.91,0,1.91,100,2.38,0,1.27,1.4,-0.13,47.63,1.59,1.75,3,2,-1,10.97,100,110.97
"ANA",2017-01-15,1,48.57,27.8,39.57,-11.77,41.27,34.35,48.89,0,1.12,-1.12,0,0,1.38,1.29,1.65,-0.36,43.85,1.59,2.04,4,4,0,0,94.28,94.28
"ANA",2017-01-17,1,46.83,30.9,43.11,-12.21,41.75,39.59,55.23,0.85,0.81,0.04,51.22,1.09,1.04,1.56,2.19,-0.63,41.54,1.99,2.81,3,5,2,6.61,95.76,102.37
"ANA",2017-01-19,1,48.77,49.94,30.53,19.41,62.06,61.45,37.56,0.81,0,0.81,100,1,0,2.36,0.91,1.45,72.22,2.91,1.12,2,5,3,3.8,100,103.8
"ANA",2017-01-21,1,52.6,33.43,37.27,-3.83,47.29,38.14,42.51,0.83,4.79,-3.96,14.8,0.95,5.47,1.26,1.39,-0.13,47.59,1.44,1.58,2,3,1,3.62,75.91,79.53
