"Team","Date","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"ARI",2016-11-04,1,60,35.31,48.97,-13.66,41.9,35.31,48.97,0.8,4.62,-3.82,14.79,0.8,4.62,1.45,3.09,-1.64,31.91,1.45,3.09,4,3,-1,4.2,84.76,88.95
"ARI",2016-11-08,1,60,47.66,44.3,3.36,51.82,47.66,44.3,3.22,1.4,1.82,69.72,3.22,1.4,1.48,1.59,-0.11,48.18,1.48,1.59,2,5,3,15.02,94.54,109.56
"ARI",2016-11-10,1,60,40.76,48.65,-7.89,45.59,40.76,48.65,1.4,2.67,-1.28,34.29,1.4,2.67,1.25,2.23,-0.98,35.88,1.25,2.23,3,2,-1,5.96,89.23,95.19
"ARI",2016-11-12,1,60,47.15,55.68,-8.53,45.85,47.15,55.68,0.35,1.61,-1.26,17.8,0.35,1.61,1.83,1.81,0.01,50.19,1.83,1.81,1,4,3,1.33,94.29,95.62
"ARI",2016-11-16,1,60.82,28.13,55.89,-27.76,33.48,27.76,55.14,0.86,1.35,-0.48,39.01,0.85,1.33,1.14,2.13,-0.99,34.94,1.13,2.1,4,4,0,5.12,93.34,98.45
"ARI",2016-11-17,1,62.57,50.31,58.84,-8.52,46.1,48.25,56.42,1.34,1.71,-0.36,44.02,1.29,1.64,1.53,2.2,-0.67,41.07,1.47,2.11,3,2,-1,3.95,95.45,99.41
"ARI",2016-11-19,1,61.27,47.24,62.96,-15.72,42.87,46.27,61.66,1.95,1.83,0.12,51.58,1.91,1.8,2.1,3.34,-1.25,38.56,2.06,3.28,4,5,1,6.75,95.29,102.04
"ARI",2016-11-23,1,60,57.23,40.07,17.16,58.82,57.23,40.07,0.86,4.21,-3.35,16.92,0.86,4.21,2.37,2.02,0.36,54.05,2.37,2.02,2,2,0,2.85,81.84,84.69
"ARI",2016-11-25,1,65,51.27,51.54,-0.27,49.87,47.33,47.58,2.08,1.91,0.17,52.08,1.92,1.76,2.81,2.28,0.53,55.16,2.59,2.11,3,3,0,5.64,93.31,98.95
"ARI",2016-11-27,1,60,49.68,64.42,-14.74,43.54,49.68,64.42,1.72,0.84,0.88,67.29,1.72,0.84,1.94,2.7,-0.76,41.77,1.94,2.7,4,3,-1,8.57,97.66,106.24
"ARI",2016-11-29,1,60.32,36.63,53.17,-16.54,40.79,36.43,52.89,0.92,1.12,-0.19,45.24,0.92,1.11,1.63,3.11,-1.48,34.37,1.62,3.09,4,3,-1,5.56,96.81,102.37
"ARI",2016-12-01,1,60,48.44,48.16,0.28,50.15,48.44,48.16,1.92,3.51,-1.59,35.39,1.92,3.51,2.59,2.21,0.38,53.94,2.59,2.21,8,7,-1,6.16,86.09,92.24
"ARI",2016-12-03,1,65,49.41,69.73,-20.31,41.47,45.61,64.36,1.2,1.98,-0.78,37.79,1.11,1.83,1.97,3,-1.02,39.71,1.82,2.77,8,7,-1,4.16,95.62,99.78
"ARI",2016-12-05,1,60,29.41,51.15,-21.74,36.51,29.41,51.15,0.34,2.41,-2.07,12.44,0.34,2.41,1.26,2.78,-1.51,31.24,1.26,2.78,8,3,-5,2.07,92.21,94.29
"ARI",2016-12-06,1,60,33.96,54.19,-20.23,38.52,33.96,54.19,0,3.35,-3.35,0,0,3.35,1.37,1.93,-0.55,41.6,1.37,1.93,3,2,-1,0,89.09,89.09
"ARI",2016-12-08,1,61.15,52.1,50.21,1.89,50.92,51.12,49.27,0.87,0.66,0.22,57.15,0.86,0.64,1.69,1.36,0.33,55.41,1.65,1.33,9,7,-2,3.61,97.72,101.34
"ARI",2016-12-10,1,60,57.74,61.34,-3.59,48.49,57.74,61.34,3.8,0.81,2.99,82.41,3.8,0.81,2.25,2.3,-0.05,49.44,2.25,2.3,6,4,-2,9.73,97.6,107.33
"ARI",2016-12-12,1,60,48.96,53.58,-4.62,47.75,48.96,53.58,0,5.4,-5.4,0,0,5.4,3.3,2.62,0.68,55.75,3.3,2.62,7,3,-4,0,82.81,82.81
"ARI",2016-12-13,1,60,42.89,47.44,-4.55,47.48,42.89,47.44,3.51,1.02,2.49,77.42,3.51,1.02,2.69,3.9,-1.21,40.83,2.69,3.9,5,3,-2,14.29,96.65,110.93
"ARI",2016-12-15,1,65,57.66,75.61,-17.95,43.27,53.22,69.79,1.2,1.21,-0.01,49.81,1.1,1.11,3.57,3.35,0.22,51.58,3.29,3.09,4,4,0,4.37,97.05,101.42
"ARI",2016-12-17,1,60,38.15,59.87,-21.72,38.92,38.15,59.87,0.8,2.77,-1.97,22.41,0.8,2.77,1.42,2.44,-1.02,36.77,1.42,2.44,3,1,-2,3.58,90.66,94.24
"ARI",2016-12-19,1,60,41.61,50.74,-9.13,45.06,41.61,50.74,1.93,1.29,0.64,59.99,1.93,1.29,1.63,1.79,-0.15,47.76,1.63,1.79,8,7,-1,8.37,94.74,103.11
