"Player","Season","Team","GP","TOI","SA","GA","Sv%","xSv%","dSv%","LDSv%","MDSv%","HDSv%","GSAA"
"NIKLAS.BACKSTROM","2013-2014","MIN",9,459.76,178,20,88.76,92.96,-4.19,94.25,88.41,68.18,-7.46
"NIKLAS.BACKSTROM","2014-2015","MIN",10,501.27,209,22,89.47,92.32,-2.84,95.05,89.71,75,-5.94
"NIKLAS.SVEDBERG","2013-2014","BOS",1,60.83,35,2,94.29,93.71,0.57,100,100,66.67,0.2
"NIKLAS.SVEDBERG","2014-2015","BOS",7,363.26,173,14,91.91,92.33,-0.42,98.73,88.52,81.82,-0.73
"NIKLAS.TREUTLE","2015-2016","ARI",2,49.7,20,5,75,90.4,-15.4,100,50,60,-3.08
"NIKOLAI.KHABIBULIN","2007-2008","CHI",27,1521.61,699,64,90.84,90.81,0.03,99.04,90.06,81.21,0.22
"NIKOLAI.KHABIBULIN","2008-2009","CHI",23,1338.09,594,49,91.75,91.01,0.74,98.27,93.79,76.52,4.4
"NIKOLAI.KHABIBULIN","2009-2010","EDM",10,610.55,338,31,90.83,91.51,-0.69,95.45,91.76,79.31,-2.32
"NIKOLAI.KHABIBULIN","2010-2011","EDM",25,1436.81,724,67,90.75,90.6,0.15,99.42,90.66,80.69,1.07
"NIKOLAI.KHABIBULIN","2011-2012","EDM",22,1196.65,560,50,91.07,90.49,0.58,95.79,92.79,82.43,3.25
"NIKOLAI.KHABIBULIN","2012-2013","EDM",7,384.87,202,19,90.59,91.15,-0.55,98.36,89.66,83.33,-1.12
"NIKOLAI.KHABIBULIN","2013-2014","CHI",2,91.24,41,6,85.37,89.76,-4.39,95.24,75,75,-1.8
"OLAF.KOLZIG","2007-2008","WSH",30,1736.54,737,81,89.01,91.05,-2.04,97.63,92.39,65.15,-15.04
"OLAF.KOLZIG","2008-2009","T.B",3,150.88,103,13,87.38,91.76,-4.38,94.44,86,76.47,-4.51
"ONDREJ.PAVELEC","2007-2008","ATL",2,120.21,71,6,91.55,90.87,0.68,100,97.37,64.29,0.48
"ONDREJ.PAVELEC","2008-2009","ATL",8,401.28,199,25,87.44,90.02,-2.58,98.21,90.91,65.91,-5.14
"ONDREJ.PAVELEC","2009-2010","ATL",20,1124.67,625,59,90.56,90.5,0.06,96.61,91.77,79.55,0.4
"ONDREJ.PAVELEC","2010-2011","ATL",29,1642.18,846,64,92.43,91.03,1.4,98.21,94.43,78.36,11.87
"ONDREJ.PAVELEC","2011-2012","WPG",36,2090.31,1037,86,91.71,90.95,0.76,99.5,91.44,79.92,7.88
"ONDREJ.PAVELEC","2012-2013","WPG",23,1314.7,592,55,90.71,90.89,-0.18,97.38,92.04,77.37,-1.04
"ONDREJ.PAVELEC","2013-2014","WPG",32,1777.38,868,98,88.71,90.12,-1.41,96.77,91.61,75,-12.28
"ONDREJ.PAVELEC","2014-2015","WPG",24,1399.7,647,60,90.73,90.41,0.31,98.65,93.36,76.19,2.02
"ONDREJ.PAVELEC","2015-2016","WPG",18,1049.65,525,44,91.62,90.28,1.34,98.46,92.31,80.74,7.02
"ONDREJ.PAVELEC","2016-2017","WPG",5,261.56,137,16,88.32,91.65,-3.33,98.15,87.04,72.41,-4.56
"ONDREJ.PAVELEC","2017-2018","NYR",5,289.58,144,8,94.44,91.31,3.13,100,93.1,86.21,4.51
"OSCAR.DANSK","2017-2018","VGK",3,133.77,74,3,95.95,91.36,4.58,95.65,100,87.5,3.39
"PASCAL.LECLAIRE","2007-2008","CBJ",30,1671.49,752,62,91.76,92.46,-0.7,98.61,91.67,75,-5.29
"PASCAL.LECLAIRE","2008-2009","CBJ",4,233.58,103,15,85.44,90.84,-5.41,96.97,82.22,76,-5.57
"PASCAL.LECLAIRE","2009-2010","OTT",19,1050.86,466,46,90.13,91.27,-1.14,97.52,92.34,69.88,-5.31
"PASCAL.LECLAIRE","2010-2011","OTT",7,359.44,192,18,90.62,90.68,-0.05,100,88.64,78.38,-0.1
"PATRICK.LALIME","2007-2008","CHI",14,797.46,324,29,91.05,91.23,-0.18,96.91,90.57,83.82,-0.58
"PATRICK.LALIME","2008-2009","BUF",11,586.11,303,32,89.44,92.06,-2.62,97.62,90.62,65.31,-7.93
"PATRICK.LALIME","2009-2010","BUF",7,388.81,197,12,93.91,92.05,1.86,97.37,93.48,86.21,3.66
"PATRICK.LALIME","2010-2011","BUF",4,206.75,85,8,90.59,92.02,-1.44,97.06,90.62,78.95,-1.22
"PEKKA.RINNE","2008-2009","NSH",28,1650.91,790,57,92.78,91.5,1.28,99.59,93.24,78.46,10.15
"PEKKA.RINNE","2009-2010","NSH",38,2177.77,1063,84,92.1,92.05,0.05,99.19,92.8,72.37,0.48
"PEKKA.RINNE","2010-2011","NSH",34,2041.82,1032,69,93.31,91.96,1.36,98.1,93.91,81.29,14.02
"PEKKA.RINNE","2011-2012","NSH",39,2268.64,1157,88,92.39,92.66,-0.27,98.66,93.56,73.23,-3.13
"PEKKA.RINNE","2012-2013","NSH",23,1360.16,596,44,92.62,92.69,-0.08,98.87,93.16,74.23,-0.45
"PEKKA.RINNE","2013-2014","NSH",12,726.49,316,31,90.19,93.22,-3.03,97.32,87.18,76,-9.58
"PEKKA.RINNE","2014-2015","NSH",37,2230.9,994,79,92.05,92.47,-0.42,97.99,93.15,75.27,-4.15
"PEKKA.RINNE","2015-2016","NSH",37,2174.86,947,83,91.24,92.35,-1.11,97.74,92.47,72.09,-10.53
"PEKKA.RINNE","2016-2017","NSH",34,1968.39,906,74,91.83,91.98,-0.15,98.09,91.18,79.39,-1.32
"PEKKA.RINNE","2017-2018","NSH",16,926.85,493,46,90.67,90.37,0.3,98.06,88.68,81.25,1.48
"PETER.BUDAJ","2007-2008","COL",18,985.48,425,40,90.59,91.34,-0.75,96,93.89,70.42,-3.18
"PETER.BUDAJ","2008-2009","COL",28,1559.52,763,68,91.09,92.13,-1.04,98.35,90.25,72.28,-7.97
"PETER.BUDAJ","2009-2010","COL",6,278.65,139,12,91.37,91.88,-0.51,100,91.23,73.08,-0.71
"PETER.BUDAJ","2010-2011","COL",23,1171.1,610,57,90.66,91.99,-1.33,97.42,90.6,73.33,-8.11
