"","Player","Date","Team","Position","TOI","iCF","iFF","iSF","ixG","iSCF","iFOW","iFOL","iPENT","iPEND","iHF","iHA","iGVA","iTKA","iBLK","iCF60","iFF60","iSF60","ixG60","ixFSh%","iSCF60","iFO%","iPENDIFF"
"1286","RILEY.NASH","2017-04-17","BOS","C",17.58,3,2,2,0.05,0,5,4,1,1,1,4,1,4,1,10.24,6.83,6.83,0.16,2.35,0,0.56,0
"1287","RILEY.NASH","2017-04-15","BOS","C",11.9,5,5,3,0.33,1,5,2,0,0,0,1,0,0,0,25.21,25.21,15.13,1.64,6.52,5.04,0.71,0
"1288","RILEY.NASH","2017-04-12","BOS","C",13.57,0,0,0,0,0,3,4,0,0,2,0,1,0,2,0,0,0,0,NA,0,0.43,0
"1289","ROBERT.BORTUZZO","2017-04-26","STL","D",12.26,3,2,2,0.02,0,0,0,0,0,3,5,1,0,0,14.68,9.79,9.79,0.12,1.18,0,NA,0
"1290","ROBERT.BORTUZZO","2017-04-22","STL","D",11.65,2,2,1,0.03,0,0,0,0,0,2,2,0,0,0,10.3,10.3,5.15,0.14,1.37,0,NA,0
"1291","ROBERT.BORTUZZO","2017-04-19","STL","D",9.95,3,1,0,0.02,0,0,0,1,0,2,5,0,0,0,18.09,6.03,0,0.11,1.82,0,NA,-1
"1292","ROBERT.BORTUZZO","2017-04-16","STL","D",10.98,0,0,0,0,0,0,0,0,1,1,4,0,0,2,0,0,0,0,NA,0,NA,1
"1293","ROBERT.BORTUZZO","2017-04-14","STL","D",12.32,2,1,0,0.04,0,0,0,1,0,2,1,0,0,1,9.74,4.87,0,0.19,3.96,0,NA,-1
"1294","ROMAN.JOSI","2017-04-26","NSH","D",18.25,1,1,1,0.01,0,0,0,0,0,2,2,0,1,4,3.29,3.29,3.29,0.03,0.81,0,NA,0
"1295","ROMAN.JOSI","2017-04-20","NSH","D",21.5,4,4,4,0.21,1,0,0,0,0,0,0,1,0,1,11.16,11.16,11.16,0.6,5.35,2.79,NA,0
"1296","ROMAN.JOSI","2017-04-17","NSH","D",26.85,10,4,3,0.11,0,0,0,1,0,0,1,1,0,4,22.35,8.94,6.7,0.24,2.65,0,NA,-1
"1297","ROMAN.JOSI","2017-04-15","NSH","D",19.42,4,3,2,0.08,0,0,0,0,0,2,0,3,0,1,12.36,9.27,6.18,0.24,2.56,0,NA,0
"1298","ROMAN.JOSI","2017-04-13","NSH","D",24.11,8,3,3,0.1,0,0,0,0,0,1,6,3,0,4,19.91,7.47,7.47,0.24,3.22,0,NA,0
"1299","ROMAN.POLAK","2017-04-15","TOR","D",7.72,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,NA,0,NA,0
"1300","ROMAN.POLAK","2017-04-13","TOR","D",19.88,3,1,1,0.03,0,0,0,0,0,6,5,0,0,4,9.05,3.02,3.02,0.1,3.47,0,NA,0
"1301","RON.HAINSEY","2017-04-27","PIT","D",19.75,1,1,0,0.01,0,0,0,0,0,2,1,1,0,3,3.04,3.04,0,0.03,1.03,0,NA,0
"1302","RON.HAINSEY","2017-04-20","PIT","D",19.08,2,2,2,0.03,0,0,0,0,0,0,4,1,0,3,6.29,6.29,6.29,0.1,1.6,0,NA,0
"1303","RON.HAINSEY","2017-04-18","PIT","D",13.61,4,4,4,0.23,1,0,0,0,0,1,1,0,0,2,17.63,17.63,17.63,1.01,5.73,4.41,NA,0
"1304","RON.HAINSEY","2017-04-16","PIT","D",20.34,5,4,3,0.38,1,0,0,0,0,1,0,0,0,3,14.75,11.8,8.85,1.14,9.62,2.95,NA,0
"1305","RON.HAINSEY","2017-04-14","PIT","D",18.21,0,0,0,0,0,0,0,0,1,2,4,0,0,0,0,0,0,0,NA,0,NA,1
"1306","RON.HAINSEY","2017-04-12","PIT","D",16.66,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,NA,0,NA,0
"1307","RYAN.DZINGEL","2017-04-27","OTT","C",11.01,2,1,1,0.14,1,0,0,0,1,1,1,1,2,1,10.9,5.45,5.45,0.78,14.23,5.45,NA,1
"1308","RYAN.DZINGEL","2017-04-23","OTT","C",14.72,1,1,1,0.02,0,0,0,0,0,2,2,2,2,0,4.08,4.08,4.08,0.09,2.16,0,NA,0
"1309","RYAN.DZINGEL","2017-04-19","OTT","C",12.41,1,1,0,0.1,1,0,0,0,0,3,0,0,0,0,4.83,4.83,0,0.48,10.02,4.83,NA,0
"1310","RYAN.DZINGEL","2017-04-17","OTT","C",12.22,2,1,1,0.12,1,0,1,0,1,2,3,0,0,0,9.82,4.91,4.91,0.61,12.5,4.91,0,1
"1311","RYAN.DZINGEL","2017-04-15","OTT","C",11.88,3,1,0,0.04,0,0,0,0,1,2,1,0,0,2,15.15,5.05,0,0.19,3.81,0,NA,1
"1312","RYAN.ELLIS","2017-04-26","NSH","D",15.24,0,0,0,0,0,0,0,0,0,2,1,1,1,5,0,0,0,0,NA,0,NA,0
